time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6839.391511	171.232895	2.055523	-0.211101	233
6841.512186	173.946960	2.044384	-0.211921	235
6843.627162	172.145172	2.075015	-0.218177	237
6845.742073	169.652710	2.037025	-0.209686	239
6847.864617	172.093140	2.027309	-0.202606	241
6849.984497	173.152435	2.043433	-0.209348	243
6852.097524	170.548187	2.039012	-0.209758	245
6854.213346	169.220398	2.032768	-0.201630	247
6856.334634	170.635284	2.016107	-0.197729	249
6858.455321	172.368515	2.023883	-0.197681	251
6860.572877	172.179657	2.025479	-0.199559	253
6862.689764	171.683487	2.022648	-0.199006	255
6864.805037	170.581207	2.013043	-0.196618	1
6866.923304	170.149673	2.025036	-0.194016	3
6869.040940	170.566971	2.008147	-0.192676	5
6871.159396	170.577744	1.998320	-0.190107	7
6873.278787	170.528687	2.007280	-0.186970	9
6875.395442	170.295242	2.008202	-0.182581	11
6877.509025	169.567520	2.017424	-0.178272	13
6879.623723	169.134216	2.003103	-0.179201	15
6881.742762	169.384033	1.992941	-0.181795	17
6883.864269	169.258865	1.983725	-0.180276	19
6885.982532	169.524521	1.997236	-0.172011	21
6888.096023	169.166092	2.004565	-0.168141	23
6890.210449	168.737122	1.986627	-0.171383	25
6892.330060	168.886780	1.981857	-0.172067	27
6894.451359	168.940140	1.976456	-0.168616	29
6896.569788	169.241226	1.977078	-0.163316	31
6898.684861	168.972595	1.988260	-0.159514	33
6900.799160	168.437714	1.975158	-0.158282	35
6902.915398	167.785233	1.984751	-0.157627	37
6905.031705	167.494095	1.966639	-0.156041	39
6907.148728	167.245773	1.971927	-0.154341	41
6909.266257	166.971542	1.959445	-0.151158	43
6911.384381	167.383072	1.959915	-0.147720	45
6913.503384	167.878250	1.957467	-0.144940	47
6915.622892	168.880203	1.948048	-0.143423	49
6917.741292	169.325684	1.959179	-0.143995	51
6919.856944	168.549103	1.950931	-0.145430	53
6921.970165	166.815002	1.953569	-0.144079	55
6924.085153	165.617905	1.946548	-0.138940	57
6926.203444	166.585556	1.930982	-0.133003	59
6928.324396	168.025299	1.933855	-0.131545	61
6930.443628	168.840576	1.925569	-0.133641	63
6932.558397	167.887100	1.940213	-0.134104	65
6934.672692	166.482590	1.932409	-0.132349	67
6936.786941	165.638901	1.930170	-0.128759	69
6938.903503	165.248489	1.919753	-0.126269	71
6941.020814	165.663345	1.920617	-0.123571	73
6943.138554	165.844696	1.920328	-0.121569	75
6945.255725	166.096130	1.912569	-0.120159	77
6947.372522	165.932816	1.918101	-0.118417	79
6949.488687	165.913773	1.905414	-0.117026	81
6951.605047	165.801422	1.909483	-0.115765	83
6953.721758	165.568588	1.903469	-0.114975	85
6955.838691	165.693268	1.890047	-0.114515	87
6957.957469	165.753281	1.890051	-0.113692	89
6960.076920	165.902954	1.886941	-0.111864	91
6962.195858	166.127426	1.878175	-0.109909	93
6964.312313	166.107544	1.894578	-0.105703	95
6966.426254	165.942612	1.900176	-0.103070	97
6968.539917	165.674881	1.893364	-0.102619	99
6970.655251	165.484116	1.889142	-0.103676	101
6972.773223	165.266144	1.876945	-0.102751	103
6974.892213	165.418945	1.870022	-0.101434	105
6977.011407	165.466995	1.867576	-0.099694	107
6979.129587	165.713837	1.864624	-0.097524	109
6981.246452	165.781052	1.866742	-0.095854	111
6983.362553	165.916183	1.861326	-0.094230	113
6985.479314	165.824142	1.865002	-0.092537	115
6987.595914	165.998428	1.856168	-0.091390	117
6989.712831	165.832306	1.854001	-0.090312	119
6991.829301	165.916580	1.859579	-0.089439	121
6993.945469	165.983337	1.853705	-0.089354	123
6996.061180	165.596573	1.847398	-0.088717	125
6998.176097	164.916183	1.859604	-0.087640	127
7000.289931	164.223404	1.846111	-0.086270	129
7002.404564	163.441681	1.842927	-0.083421	131
7004.521028	163.509171	1.845233	-0.079952	133
7006.639219	164.178680	1.835344	-0.077145	135
7008.758665	164.826126	1.829468	-0.075775	137
7010.877702	165.530746	1.826989	-0.075417	139
7012.994735	165.459641	1.817788	-0.075645	141
7015.110292	165.121338	1.826112	-0.075119	143
7017.224912	164.471008	1.815468	-0.074121	145
7019.340111	164.036896	1.828243	-0.072237	147
7021.455222	163.746689	1.811436	-0.070800	149
7023.571373	163.581253	1.819539	-0.069297	151
7025.687624	163.626923	1.806372	-0.068405	153
7027.804505	163.755875	1.808946	-0.066617	155
7029.921758	163.766922	1.806894	-0.065286	157
7032.039403	163.910156	1.798655	-0.064550	159
7034.157306	163.823532	1.801662	-0.063278	161
7036.275120	163.935455	1.797787	-0.061715	163
7038.391858	163.824020	1.795223	-0.060304	165
7040.507358	163.912338	1.805451	-0.058083	167
7042.621146	163.861206	1.804228	-0.056626	169
7044.735096	163.995895	1.806073	-0.055328	171
7046.849584	163.762070	1.789554	-0.055309	173
7048.965472	163.621613	1.790823	-0.054645	175
7051.082571	163.357391	1.776573	-0.053945	177
7053.200871	163.441254	1.781464	-0.052623	179
7055.318778	163.403259	1.774724	-0.051498	181
7057.436522	163.407944	1.772158	-0.050124	183
7059.553737	163.467682	1.771318	-0.049011	185
7061.670350	163.483109	1.767221	-0.047873	187
7063.787086	163.532578	1.772740	-0.047060	189
