crossing time (s)	slope (V/s)	crossing number
9136.030061	-18.160350	8272
9137.095535	-18.366569	8273
9138.151584	-18.421346	8274
9139.208853	-17.151512	8275
9140.272107	-19.997797	8276
9141.326502	-18.564319	8277
9142.383064	-16.960710	8278
9143.445819	-19.035634	8279
9144.503367	-19.465880	8280
9145.559621	-16.411330	8281
9146.621045	-19.060446	8282
9147.679074	-18.804868	8283
9148.733351	-17.616398	8284
9149.797049	-17.539053	8285
9150.857229	-19.392448	8286
9151.912965	-17.406205	8287
9152.973955	-17.772380	8288
9154.033068	-18.716350	8289
9155.083920	-17.771891	8290
9156.149699	-16.964193	8291
9157.208448	-19.745036	8292
9158.262281	-17.219121	8293
9159.324678	-18.534315	8294
9160.378792	-19.064182	8295
9161.438718	-17.582715	8296
9162.502426	-17.945087	8297
9163.551071	-18.634920	8298
9164.619645	-17.217912	8299
9165.668917	-19.109988	8300
9166.732644	-17.257499	8301
9167.788131	-17.967883	8302
9168.854368	-17.396631	8303
9169.906007	-18.819703	8304
9170.966475	-17.006055	8305
9172.022390	-18.190897	8306
9173.085533	-17.901179	8307
9174.138271	-18.583043	8308
9175.203824	-17.328316	8309
9176.257115	-18.585647	8310
9177.323341	-17.478991	8311
9178.370317	-17.930505	8312
9179.433369	-18.439575	8313
9180.494419	-17.438231	8314
9181.544394	-18.164561	8315
9182.615005	-18.406630	8316
9183.668086	-17.122856	8317
9184.723881	-19.099146	8318
9185.786834	-17.038832	8319
9186.840624	-17.908662	8320
9187.903623	-18.308703	8321
9188.960963	-17.302260	8322
9190.013966	-17.811372	8323
9191.081137	-18.303636	8324
9192.134510	-16.746421	8325
9193.190270	-18.614026	8326
9194.256850	-17.219916	8327
9195.307366	-17.440166	8328
9196.370285	-18.691720	8329
9197.424545	-17.227466	8330
9198.483597	-17.822104	8331
9199.545270	-18.189013	8332
9200.601360	-17.111425	8333
9201.664794	-18.385306	8334
9202.720354	-17.314640	8335
9203.773076	-18.107791	8336
9204.841947	-17.385898	8337
9205.893355	-18.281563	8338
9206.957451	-16.950713	8339
9208.005330	-18.295866	8340
9209.070867	-17.283446	8341
9210.121162	-17.867690	8342
9211.188770	-17.547433	8343
9212.241661	-17.823904	8344
9213.303888	-17.397039	8345
9214.356684	-17.582420	8346
9215.421990	-17.280884	8347
9216.471747	-18.095043	8348
9217.539013	-16.857382	8349
9218.594341	-18.008761	8350
9219.654017	-17.200969	8351
9220.711537	-17.743548	8352
9221.769083	-17.409269	8353
9222.830620	-17.575079	8354
9223.883356	-17.444195	8355
9224.942797	-17.707392	8356
9226.001510	-17.342939	8357
9227.056081	-17.647856	8358
9228.123459	-17.368075	8359
9229.173172	-17.278140	8360
9230.237081	-16.951182	8361
9231.291793	-17.465813	8362
9232.347815	-16.776517	8363
9233.411377	-18.040647	8364
9234.462848	-17.515359	8365
9235.531357	-17.259302	8366
9236.585271	-17.428948	8367
9237.642038	-17.574258	8368
9238.705358	-17.302124	8369
9239.755690	-17.663413	8370
9240.821264	-17.103031	8371
9241.873705	-17.496860	8372
9242.931761	-16.976272	8373
9243.990826	-17.217120	8374
9245.046505	-16.854395	8375
9246.113730	-17.311976	8376
9247.162679	-16.771409	8377
9248.230188	-17.504444	8378
9249.279229	-16.846464	8379
9250.344552	-17.169079	8380
9251.398269	-17.122469	8381
9252.460206	-17.345621	8382
9253.514969	-16.995611	8383
9254.573807	-17.521956	8384
9255.631380	-16.733395	8385
9256.694863	-17.319526	8386
9257.746063	-16.769852	8387
9258.808538	-17.223366	8388
9259.864143	-16.751235	8389
9260.923811	-16.836816	8390
9261.982215	-16.453820	8391
9263.033931	-16.799276	8392
9264.101406	-16.603093	8393
9265.152233	-16.984781	8394
9266.216678	-16.723810	8395
9267.270531	-16.557754	8396
9268.328364	-17.065955	8397
9269.392633	-16.780633	8398
9270.442677	-16.829196	8399
9271.507958	-17.103014	8400
9272.556953	-16.491610	8401
9273.622423	-16.938972	8402
9274.677540	-16.267607	8403
9275.731526	-16.595118	8404
9276.795388	-16.360913	8405
9277.850197	-16.557792	8406
9278.912432	-16.235111	8407
9279.966621	-16.539044	8408
9281.029917	-16.274556	8409
9282.084855	-16.365420	8410
9283.145608	-16.423991	8411
9284.205583	-16.377560	8412
9285.255632	-16.420535	8413
9286.322482	-16.814148	8414
9287.373142	-16.310696	8415
9288.439369	-16.631501	8416
9289.490553	-16.208598	8417
9290.556999	-16.464956	8418
9291.605493	-16.166690	8419
9292.671944	-16.464772	8420
9293.721138	-16.050579	8421
9294.785877	-16.477501	8422
9295.836602	-15.853845	8423
9296.900822	-16.457874	8424
9297.951225	-15.808951	8425
9299.019043	-16.026994	8426
9300.074212	-15.799507	8427
9301.132033	-15.960797	8428
9302.188361	-15.743932	8429
9303.249001	-16.076135	8430
9304.311884	-15.817485	8431
9305.361504	-16.390645	8432
9306.425313	-15.872286	8433
9307.478374	-16.101711	8434
9308.542032	-15.805032	8435
9309.596099	-15.709603	8436
9310.655045	-15.583169	8437
9311.715143	-15.729941	8438
9312.768321	-15.341924	8439
9313.831544	-15.695587	8440
9314.881817	-15.653113	8441
9315.946823	-15.831519	8442
9317.000394	-15.687158	8443
9318.063133	-15.840528	8444
9319.120382	-15.316394	8445
9320.178144	-15.803064	8446
9321.237667	-15.191723	8447
9322.287158	-15.484945	8448
9323.353703	-15.274429	8449
9324.403515	-15.614889	8450
9325.469562	-15.474127	8451
9326.521421	-15.642021	8452
9327.585549	-15.356566	8453
9328.638356	-15.467556	8454
9329.703851	-15.280826	8455
9330.751847	-15.282395	8456
9331.820085	-15.047250	8457
9332.869850	-15.476084	8458
9333.935195	-15.027274	8459
9334.985155	-15.409372	8460
9336.050908	-15.109112	8461
9337.103148	-15.189713	8462
9338.163813	-15.064213	8463
9339.217291	-15.078196	8464
9340.281718	-14.772125	8465
9341.335013	-15.049143	8466
9342.395709	-14.629103	8467
9343.456364	-15.050676	8468
9344.509167	-14.709567	8469
9345.574237	-15.135615	8470
9346.626723	-15.000772	8471
9347.690798	-15.155576	8472
9348.738753	-14.932982	8473
9349.805203	-15.371385	8474
9350.858881	-14.641222	8475
9351.917947	-14.654580	8476
9352.975150	-14.617337	8477
9354.031139	-14.883180	8478
9355.095878	-14.297405	8479
9356.146565	-14.705392	8480
9357.212727	-14.238703	8481
9358.263650	-14.824322	8482
9359.328492	-14.413239	8483
9360.377341	-14.897416	8484
9361.443463	-14.524606	8485
9362.497165	-14.663239	8486
9363.558721	-14.588702	8487
9364.611476	-14.636025	8488
9365.670635	-14.308390	8489
9366.730603	-14.481312	8490
9367.786483	-14.089289	8491
9368.848440	-14.399278	8492
9369.902989	-13.982988	8493
9370.961932	-14.336617	8494
9372.017519	-14.040277	8495
9373.076776	-14.197233	8496
9374.137527	-13.839718	8497
